Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_005_176_asa_dp_no_5148_adhyatma,adhyātma rāmāyaṇa,adhyātma rāmāyaṇa,Newa,Newa,ASA Archives,"dp_no: 5148, cd_no: ASK_BL-111, ask_no: hama 0.2",NA,11/12,40.6,15.4,NS950,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_177_asa_dp_no_5149_adhyatma,adhyātma rāmāyaṇa,adhyātma rāmāyaṇa ( chap. 1-12 ? ),Sanskrit,Newa,ASA Archives,"dp_no: 5149, cd_no: ASK_BL-111, ask_no: hama 0.3",NA,9/10,41.0,13.8,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_178_asa_dp_no_5150_uttarakanda,uttarakāṇḍa rāmāyana with rāmāṣṭaka stotra,uttarakāṇḍa rāmāyana with rāmāṣṭaka stotra,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 5150, cd_no: ASK_BL-112, ask_no: hama 0.8",NA,11,37.8,16.7,NS938,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_179_asa_dp_no_5151_srikanthanandopadhyaya,śrīkaṇṭhānandopādhyāya viracita naipāla varṣa kriyā saṅgraha,śrīkaṇṭhānandopādhyāya viracita naipāla varṣa kriyā saṅgraha,Sanskrit,Devanagari,ASA Archives,"dp_no: 5151, cd_no: ASK_BL-112, ask_no: hama 0.35",NA,8/20,33.0,23.5,NA,Paper,NA,Style: bound book,yes,no
ochs_000_005_180_asa_dp_no_5152_sri,śrī skaṇḍapurāṇe himavat khaṇḍe āgasta kumāra saṃvāda,śrī skaṇḍapurāṇe himavat khaṇḍe āgasta kumāra saṃvāda ( chap. 1-29 )**,Newa,Newa,ASA Archives,"dp_no: 5152, cd_no: ASK_BL-112, ask_no: hama 0.36",NA,13,39.0,19.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_181_asa_dp_no_5153_sri,śrī skaṇḍa purāṇe himavat khaṇḍe nepāla mahātmya agasta kumāra saṃvāde virūpākṣa tīrtha jātrāyāṃ rudra tīrtha śrī uddārakeśvara māhātmya paJcottalasatatamo'dhyāya,śrī skaṇḍa purāṇe himavat khaṇḍe nepāla mahātmya agasta kumāra saṃvāde virūpākṣa tīrtha jātrāyāṃ rudra tīrtha śrī uddārakeśvara māhātmya paJcottalasatatamo'dhyāya,Newa,Newa,ASA Archives,"dp_no: 5153, cd_no: ASK_BL-112, ask_no: hama 0.37",NA,12,36.3,18.6,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_182_asa_dp_no_5154_sri,śrī skaṇḍa purāṇe himavat khaṇḍe nepāla mahātmya agasta kumāra saṃvāde virūpākṣa tīrtha jātrāyāṃ joga tīrtha śrī joti liṅgeśvara māhātmya nāmo'dhyāya,śrī skaṇḍa purāṇe himavat khaṇḍe nepāla mahātmya agasta kumāra saṃvāde virūpākṣa tīrtha jātrāyāṃ joga tīrtha śrī joti liṅgeśvara māhātmya nāmo'dhyāya,Newa,Newa,ASA Archives,"dp_no: 5154, cd_no: ASK_BL-112, ask_no: hama 0.38",NA,12,36.0,18.5,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_183_asa_dp_no_5155_sriskandapurane,śrīskandapurāṇe himavatkhaṇḍe nepālamahātmye agastya kumāra samvāde virūpākṣa tīrtha jātrā,śrīskandapurāṇe himavatkhaṇḍe nepālamahātmye agastya kumāra samvāde virūpākṣa tīrtha jātrā,Newa,Newa,ASA Archives,"dp_no: 5155, cd_no: ASK_BL-112, ask_no: hama 0.39",NA,12,36.2,18.8,NA,Paper,NA,NA,yes,no
ochs_000_005_184_asa_dp_no_5156_bhagavata,bhāgavata purāṇa daśamaskanda,bhāgavata purāṇa daśamaskanda,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 5156, cd_no: ASK_BL-112, ask_no: hama 0.40",NA,11,33.0,15.8,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_185_asa_dp_no_5157_svasthani,svasthānī vrata kathā,svasthānī vrata kathā,Newa,Devanagari,ASA Archives,"dp_no: 5157, cd_no: ASK_BL-113, ask_no: hama 0.64",NA,11,44.1,20.2,VS1999,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_186_asa_dp_no_5158_svasthani,svasthānī,svasthānī,Newa,Newa,ASA Archives,"dp_no: 5158, cd_no: ASK_BL-113, ask_no: hama 0.65",NA,9/10,44.5,19.0,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_005_187_asa_dp_no_5159_svasthani,svasthānī,svasthānī,Newa,Devanagari,ASA Archives,"dp_no: 5159, cd_no: ASK_BL-114, ask_no: hama 0.66",NA,12,39,20,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
