Internal catalogue id,Name (transliteration),Alternative names,Language,Script,Provenance note,External catalogue ids,Condition,Lines per folio/page,Length (cm),Height (cm),Date of copying,Material,Illustrations,Remarks,Photos available?,Text available?
ochs_000_000_029_asa_dp_no_0001_agastya,agastya vrata kathā,agastya vrata kathā,Sanskrit,Devanagari,ASA Archives,"dp_no: 0001, cd_no: ASK_BL-001, ask_no: habi 1",ff.27(4a-82b) missing ff.1-3.5-11.14-17.19.21.22.52.56.62 -65.70.71.73.76.77.80.83-,9 lines,23.5,10.0,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_030_asa_dp_no_0002_agastya,agastya vrata vidhāna,"(1) agastya vrata vidhāna , (2) vaiśravaṇa bhaṭṭārakasya vrata vidhāna , (3) ṣīoḍaśa lakṣmī devyāḥ kalaśānāṃ rūpa bheda",Sanskrit,Newa,ASA Archives,"dp_no: 0002, cd_no: ASK_BL-001, ask_no: habi 2",NA,6 or 20 lines,19.5,7.0,"NS786(1), 788(2)","Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_031_asa_dp_no_0003_candradvipavagame,candradvīpāvagāme śrī kaṇṭhanātha viracite ardharātra dīpa yogārcana vidhi,"(1) candradvīpāvagāme śrī kaṇṭhanātha viracite ardharātra dīpa yogārcana vidhi , (2) damanādhivāsana vidhi , (3) damanāvarohana vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0003, cd_no: ASK_BL-001, ask_no: habi 3",NA,7 lines,21.3,7.0,NS763,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_032_asa_dp_no_0004_sri,"śrī candradvīpāvatāre śrī kaṇṭhanātha viracite arddharātra dīpa yoga vidhi , and arddharātri dīpayogārcaṇa sūtra","śrī candradvīpāvatāre śrī kaṇṭhanātha viracite arddharātra dīpa yoga vidhi , and arddharātri dīpayogārcaṇa sūtra",Sanskrit,Newa,ASA Archives,"dp_no: 0004, cd_no: ASK_BL-001, ask_no: habi 4",NA,6 lines,22.7,8.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_033_asa_dp_no_0005_candradipavatare,candradīpāvatāre śrī kuṇḍanātha viracite śrī kubjikāmate arddharātrī dīpa yogārcana vidhi,"(1) candradīpāvatāre śrī kuṇḍanātha viracite śrī kubjikāmate arddharātrī dīpa yogārcana vidhi , (2) sūdrayā bali biye vidh",Newa,Newa,ASA Archives,"dp_no: 0005, cd_no: ASK_BL-001, ask_no: habi 5",NA,7 lines,23.5,8.5,NS794,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_034_asa_dp_no_0006_sricandradipavatare,śrīcandradīpāvatāre śrīkaṇṭhanātha viracitāyaṃ arddharātri dīpayāgra,śrīcandradīpāvatāre śrīkaṇṭhanātha viracitāyaṃ arddharātri dīpayāgra (?)kriyā vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0006, cd_no: ASK_BL-001, ask_no: habi 6",NA,8 lines,21.8,7.5,NS793,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_035_asa_dp_no_0007_svasthana,svasthāna parameśvaryāḥ vrata vidhāna,"(1) svasthāna parameśvaryāḥ vrata vidhāna , (2) bhairavatantre devī hara saṃvāde vaṭukabhairava kavaca , (3) viṣṇudharmottare tṛtīya kāṇḍe amogha vaiṣṇavī n āma trailokyavijayāparājitā mahāstuti rājJī , (4) īśvara pārvatī saṃvāde haridrā gaṇeśa kavaca , (5) ananta deva pūjā , (6) skandapurāṇe hanumanta stotra , (7) rudrayāmale ekākṣara gaṇapati stotra",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0007, cd_no: ASK_BL-001, ask_no: habi 7",NA,6 or 7 lines,20.8,7.3,NS892(?),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_036_asa_dp_no_0008_sri,śrī bhagavate śrī ananta stotra,"(1) śrī bhagavate śrī ananta stotra ( or anantavrata ) , (2) mahālakṣmī vrata vidhi , (3) dharma vidhi ( or vrata vidhāna )",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0008, cd_no: ASK_BL-001, ask_no: habi 8",NA,7 lines,18.6,6.2,NS727(3),Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_037_asa_dp_no_0009_ananta,ananta vrata vidhi,ananta vrata vidhi,Sanskrit,Newa,ASA Archives,"dp_no: 0009, cd_no: ASK_BL-001, ask_no: habi 9",NA,5 lines,26.0,8.5,NS797,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_038_asa_dp_no_0010_ayutahuti,ayutāhuti yajJa vidhāna,"(1) ayutāhuti yajJa vidhāna , (2) pūrṇāhuti ( or āsaṃśā vidhi )",Sanskrit,Newa,ASA Archives,"dp_no: 0010, cd_no: ASK_BL-001, ask_no: habi 10",NA,18-20 or 10 lines,24.1,11.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_039_asa_dp_no_0011_dharmasastrokta,dharmaśāstrokta aṣṭaka vivāha vidhi,dharmaśāstrokta aṣṭaka vivāha vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0011, cd_no: ASK_BL-001, ask_no: habi 11",NA,7 lines,19.5,9.5,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_040_asa_dp_no_0012_astamatrka,aṣṭamātṛkā pūjā,aṣṭamātṛkā pūjā,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0012, cd_no: ASK_BL-001, ask_no: habi 12",NA,9 or 10 lines,22.5,9.5,NS947,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_041_asa_dp_no_0013_mahabharata,mahābhārata mrāhasayā,mahābhārata mrāhasayā (?) dharma judhithira ( yudhiṣṭhira ) samvāde aśvamegha jajJa,Newa,Newa,ASA Archives,"dp_no: 0013, cd_no: ASK_BL-001, ask_no: habi 13",NA,3 or 7 lines,19.5,8.0,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_042_asa_dp_no_0014_ahoratra,ahorātra yajJa vidhāna,ahorātra yajJa vidhāna,Sanskrit,Newa,ASA Archives,"dp_no: 0014, cd_no: ASK_BL-001, ask_no: habi 14",NA,24-26 lines,10.0,21.5,NS799,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_043_asa_dp_no_0015_ahoratra,ahorātra yajJa vidhi *,ahorātra yajJa vidhi *,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0015, cd_no: ASK_BL-001, ask_no: habi 15",NA,18 or 30 lines,24.2,10.5,NA,"Paper, coat of HARTALA on one side","figure ( in colour ) liGga , kalaCa , sarpa , ekadaCIyA maNDala , ananta","Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_044_asa_dp_no_0016_hindu,hindu pūjā vidhis,hindu pūjā vidhis,Sanskrit,Newa,ASA Archives,"dp_no: 0016, cd_no: ASK_BL-001, ask_no: habi 16",NA,9 or 30 lines,20.8,9.0,NS776,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_045_asa_dp_no_0017_agama,āgama pūjā vidhi,āgama pūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0017, cd_no: ASK_BL-001, ask_no: habi 17",NA,6 lines,22.9,9.4,NS870,"Paper, coat of HARTALA on irregular",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_046_asa_dp_no_0018_title,title unknown,(1) title unknown (2) ārātrika saṅkṣepa paddhati ( or - svalpa ārātrika vidhi ),Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0018, cd_no: ASK_BL-001, ask_no: habi 18",NA,7 or 9 lines,22.8,10.0,NS805(2),"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_047_asa_dp_no_0019_sri,śrī ugracaṇḍā pūjā vidhi and others *,śrī ugracaṇḍā pūjā vidhi and others *,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0019, cd_no: ASK_BL-001, ask_no: habi 19",NA,5 lines,12.7,6.9,NA,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_048_asa_dp_no_0020_navaratra,navarātra paddhati,navarātra paddhati,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0020, cd_no: ASK_BL-001, ask_no: habi 20",NA,9 lines,19.0,8.5,NSx76,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_049_asa_dp_no_0021_uttara,uttara paddhati,"uttara paddhati ( siddhilakṣmī ācaraṇa pūjā vidhi , etc )",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0021, cd_no: ASK_BL-001, ask_no: habi 21",NA,6 lines,22.6,8.5,NA,"Paper, coat of HARTALA irregular",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_050_asa_dp_no_0022_sripaJcami,śrīpaJcamī bārāhī devyā paddhati,"(1) śrīpaJcamī bārāhī devyā paddhati , (2) kumārī bhojana vidhi , (3) vāgmatī xx , (4) śaṅsana snāna (?)",Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0022, cd_no: ASK_BL-001, ask_no: habi 22",NA,6-8 lines,20.2,8.4,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_051_asa_dp_no_0023_urdhvamnaya,ūrdhvāmnāya krama damanārohana vidhi,ūrdhvāmnāya krama damanārohana vidhi,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0023, cd_no: ASK_BL-001, ask_no: habi 23",NA,7 lines,23.8,9.7,NS979,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_052_asa_dp_no_0024_title,title unknown * and vājasaneya,title unknown * and vājasaneya,Sanskrit,Newa,ASA Archives,"dp_no: 0024, cd_no: ASK_BL-001, ask_no: habi 24",NA,6 or 8 lines,36.0,8.6,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_053_asa_dp_no_0025_uma,umā yāmale khaḍga prastārāvatāra prakrama,umā yāmale khaḍga prastārāvatāra prakrama,Sanskrit,Newa,ASA Archives,"dp_no: 0025, cd_no: ASK_BL-001, ask_no: habi 25",NA,6 lines,15.7,6.1,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_054_asa_dp_no_0026_rsi,ṛṣi paJcamī vrata vidhi,"(1) ṛṣi paJcamī vrata vidhi , (2) garbhādhāna vidhi",Sanskrit-Newa,Devanagari-Newa,ASA Archives,"dp_no: 0026, cd_no: ASK_BL-001, ask_no: habi 26",NA,13 or 17 lines,17.3,8.0,NS989,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_055_asa_dp_no_0027_title,title unknown *,title unknown *,Sanskrit,Devanagari,ASA Archives,"dp_no: 0027, cd_no: ASK_BL-001, ask_no: habi 27",NA,5 lines,16.8,8.5,VS1869,"Paper, coat of HARTALA on front side",NA,NA,yes,no
ochs_000_000_056_asa_dp_no_0028_dasakriya,daśakriyā vidhi,"(1) daśakriyā vidhi , (2) ekādaśa ( śrāddha ) vidhāna",Newa,Devanagari,ASA Archives,"dp_no: 0028, cd_no: ASK_BL-001, ask_no: habi 28",NA,9-11 lines,15.9,10.6,VS1994,"Paper, coat of HARTALA on one",NA,Style: bound book side,yes,no
ochs_000_000_057_asa_dp_no_0029_kanya,kanyā dāna vidhi,kanyā dāna vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0029, cd_no: ASK_BL-001, ask_no: habi 29",NA,"13-15 or 7,8 lines",14.4,8.2,NS932,"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_058_asa_dp_no_0030_puja,pūjā vidhi,"pūjā vidhi ( hindu , title unknown )",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0030, cd_no: ASK_BL-001, ask_no: habi 30",NA,7 lines,,,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_059_asa_dp_no_0031_dasakarma,daśakarma pūjā vidhi,daśakarma pūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0031, cd_no: ASK_BL-001, ask_no: habi 31",NA,13 lines,,,NA,"Paper, coat of HARTALA on front side & back side",NA,NA,yes,no
ochs_000_000_060_asa_dp_no_0032_vagdana,vāgdāna vidhi,"(1) vāgdāna vidhi , (2) vivāha varaṇī , (3) svayaṃvara paddhati , (4) mātṛkā pūjā vidhāna , (5) śilā pūjā vidhi , (6) antya vidhi",Sanskrit,Devanagari,ASA Archives,"dp_no: 0032, cd_no: ASK_BL-001, ask_no: habi 32",NA,9 lines,23.5,15.0,NA,"Paper, coat of HARTALA on one side",NA,Style: banded,yes,no
ochs_000_000_061_asa_dp_no_0033_kalasa,kalaśa pūjā vidhi,"(1) kalaśa pūjā vidhi , (2) kālī sahasrākṣī mantra , (3) mantra siddhi daśa saṃskāra prakaraṇa wa mantra dayeke vidhi , (4) kokhayā caritra",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0033, cd_no: ASK_BL-001, ask_no: habi 33",NA,6 lines,18.5,9.0,"VS1994(2), VS1995(3)","Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_062_asa_dp_no_0034_kamagni,kāmāgni yajJa vidhi,kāmāgni yajJa vidhi,Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0034, cd_no: ASK_BL-001, ask_no: habi 34",NA,23 lines,24.5,10.9,VS1997,"Paper, coat of HARTALA on back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_063_asa_dp_no_0035_hindu,hindu stotras,hindu stotras,Sanskrit,Devanagari,ASA Archives,"dp_no: 0035, cd_no: ASK_BL-001, ask_no: habi 35",NA,5 lines,16.8,9.1,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_064_asa_dp_no_0036_karttika,kārttika vrata śivādi paJcāyaṇa pūjā vidhi,"(1) kārttika vrata śivādi paJcāyaṇa pūjā vidhi , (2) ādhimāsa vrata",Sanskrit,Newa(1)-Devanagari(2),ASA Archives,"dp_no: 0036, cd_no: ASK_BL-001, ask_no: habi 36",NA,7 or 8 lines,15.4,7.5,NS960(1),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_065_asa_dp_no_0037_prasasta,praśasta kāla nirṇaya *,"(1) praśasta kāla nirṇaya * , (2) cāmuṇḍārcana vidhi **",Sanskrit,Newa,ASA Archives,"dp_no: 0037, cd_no: ASK_BL-001, ask_no: habi 37",NA,9 lines,23.5,8.8,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_066_asa_dp_no_0038_kalagni,kālāgni yajJa vidhi,kālāgni yajJa vidhi,Sanskrit,Devanagari,ASA Archives,"dp_no: 0038, cd_no: ASK_BL-001, ask_no: habi 39",NA,8 lines,23.9,10.7,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_067_asa_dp_no_0039_kalikarcana,kālikārcaṇa homa vidhi,kālikārcaṇa homa vidhi ( or kālāṅgi jajJasvalpa vidhi ),Sanskrit,Newa,ASA Archives,"dp_no: 0039, cd_no: ASK_BL-001, ask_no: habi 40",NA,6-20 lines,21.5,7.8,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_068_asa_dp_no_0040_kali,kālī pūjā vidhāna,kālī pūjā vidhāna (?),Newa,Newa,ASA Archives,"dp_no: 0040, cd_no: ASK_BL-001, ask_no: habi 41",NA,7 or 8 lines,23.0,8.0,NA,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_069_asa_dp_no_0041_srikubjikastaka,śrīkubjikāṣṭaka,śrīkubjikāṣṭaka,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0041, cd_no: ASK_BL-001, ask_no: habi 42",NA,6 lines,21.5,7.0,NA,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_070_asa_dp_no_0042_pascima,paścima jeṣṭhāmnāye śrīgurumaṇḍala devājJāna,"(1) paścima jeṣṭhāmnāye śrīgurumaṇḍala devājJāna , (2) xxxxmnāye xxx karmārcaṇa , (3) xxxxx pavitra rohana vidhi , (4) xxx avarohana , (5) śrīxxx jeṣṭhāmnāye śrīkubjikā karma devārcana",Sanskrit,Newa,ASA Archives,"dp_no: 0042, cd_no: ASK_BL-001, ask_no: habi 43",NA,7 or 8 lines,20.3,7.0,NS730,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_071_asa_dp_no_0043_kumari,kumārī pūjā,"(1) kumārī pūjā , (2) naolāsone vidhi , (3) varṣa bandhana vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0043, cd_no: ASK_BL-001, ask_no: habi 44",NA,6 lines,15.8,6.7,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_072_asa_dp_no_0044_kumbhapuja,kumbhapūjā vidhi,kumbhapūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0044, cd_no: ASK_BL-001, ask_no: habi 45",NA,7 lines,25.8,11.2,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_073_asa_dp_no_0045_kulapinda,kulapiṇḍa thaye vidhi,"(1) kulapiṇḍa thaye vidhi , (2) bagalāmukhī pūjā",Sanskrit-Newa,Devanagari,ASA Archives,"dp_no: 0045, cd_no: ASK_BL-001, ask_no: habi 46",NA,7 or 6 lines,18.6,8.0,"NS977(1), 994(2)","Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_074_asa_dp_no_0046_katyayanokta,kātyāyanokta sūrya kuśaṇḍi karma,kātyāyanokta sūrya kuśaṇḍi karma (or kuśaṇḍī vidhi ),Sanskrit,Devanagari,ASA Archives,"dp_no: 0046, cd_no: ASK_BL-001, ask_no: habi 47",NA,17 or 18 lines,10.5,18.0,NA,"Paper, coat of HARTALA on back side",NA,Style: bound book,yes,no
ochs_000_000_075_asa_dp_no_0047_katyayanokta,kātyāyanokta kuśaṇḍikarma,"(1) kātyāyanokta kuśaṇḍikarma, (2) ihi masyatvā (?)",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0047, cd_no: ASK_BL-001, ask_no: habi 48",NA,5 lines,18.0,6.9,NSrasa §¬nya hasti 806(1)and 809(2),"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges) with skin cover",yes,no
ochs_000_000_076_asa_dp_no_0048_katyayanokta,kātyāyanokta sūryakuśāṇḍikarma *,kātyāyanokta sūryakuśāṇḍikarma *,Sanskrit,Devanagari,ASA Archives,"dp_no: 0048, cd_no: ASK_BL-001, ask_no: habi 49",NA,6 lines,18.5,7.7,VS1947,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_077_asa_dp_no_0049_katyayanokta,kātyāyanokta kuśaṇḍī vivaraṇa,"(1) kātyāyanokta kuśaṇḍī vivaraṇa , (2) phala vihā ( vivāha ? ) , (3) ātyudayikaya (?) bodaka vṛddhi śrāddha vidhi",Sanskrit,Newa,ASA Archives,"dp_no: 0049, cd_no: ASK_BL-001, ask_no: habi 50",NA,7 lines,13.7,6.5,NS917(1),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_078_asa_dp_no_0050_katyayanokta,kātyāyanokta kuśaṇḍi karma,kātyāyanokta kuśaṇḍi karma,Sanskrit,Newa,ASA Archives,"dp_no: 0050, cd_no: ASK_BL-001, ask_no: habi 51",NA,6 lines,18.5,5.5,NS589(?),"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_079_asa_dp_no_0051_srikojagrata,śrīkojāgrata lakṣmī pūjā vidhi,śrīkojāgrata lakṣmī pūjā vidhi,Sanskrit,Devanagari,ASA Archives,"dp_no: 0051, cd_no: ASK_BL-001, ask_no: habi 52",NA,10 lines,15.3,11.5,VS1981,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_080_asa_dp_no_0052_koti,koṭi homa vidhi,koṭi homa vidhi,Newa,Newa,ASA Archives,"dp_no: 0052, cd_no: ASK_BL-001, ask_no: habi 53",NA,5-7 lines,19.3,7.3,NA,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_081_asa_dp_no_0053_kaumari,kaumārī pūjā vidhi,kaumārī pūjā vidhi,Newa,Newa,ASA Archives,"dp_no: 0053, cd_no: ASK_BL-002, ask_no: habi 54",NA,7 lines,20.7,9.0,NA,"Paper, coat of HARTALA on one side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_082_asa_dp_no_0054_kaumari,kaumāri pūjā vidhi,"(1) kaumāri pūjā vidhi , (2) ugra (?)caṇḍā mantrāṅga stuti , (3) unknown (4) śrīskandapurāṇe śītalāṣṭaka stotra",Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0054, cd_no: ASK_BL-002, ask_no: habi 56",NA,6 lines,17.5,6.5,NS728(1) VS2010(4),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_083_asa_dp_no_0055_bali,bali vidhi *,bali vidhi * ( hindu ),Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0055, cd_no: ASK_BL-002, ask_no: habi 57",NA,5 lines,16.0,6.5,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_084_asa_dp_no_0056_ganesa,gaṇeṣa pūjā vidhi,gaṇeṣa pūjā vidhi,Newa,Newa,ASA Archives,"dp_no: 0056, cd_no: ASK_BL-002, ask_no: habi 58",NA,20 lines more or less,,,NS1006,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_085_asa_dp_no_0057_ganesa,gaṇeśa pūjā vidhi,"(1) gaṇeśa pūjā vidhi , (2) nārada viracita pītāmvarā stotra",Sanskrit-Newa,Newa-Devanagari,ASA Archives,"dp_no: 0057, cd_no: ASK_BL-002, ask_no: habi 59",NA,19 or 7 lines,,,NS999,"Paper, coat of HARTALA on front side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_086_asa_dp_no_0058_ganesa,gaṇeśa pūjā vidhi,gaṇeśa pūjā vidhi,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0058, cd_no: ASK_BL-002, ask_no: habi 60",NA,6 lines,15.0,7.0,NA,"Paper, coat of HARTALA on back side",NA,NA,yes,no
ochs_000_000_087_asa_dp_no_0059_garuda,garuḍa nārāyaṇa pūjā paddhati,"(1) garuḍa nārāyaṇa pūjā paddhati , (2) mahādīpa vidhi , (3) chāma saṅkrāntī cikaṃ tayegu mantra , (4) tila mādhavasya nitya pūjā paddhati",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0059, cd_no: ASK_BL-002, ask_no: habi 61",pp.42(18+24) (1)incomplete(1),15-19 or 9-11 lines,18.8,9.1,NA,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_088_asa_dp_no_0060_gandharva,gandharva vivāha vidhi,"(1) gandharva vivāha vidhi , (2) gayā (?) vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0060, cd_no: ASK_BL-002, ask_no: habi 62",NA,7 or 8 lines,20.0,9.0,NS943(1),"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_089_asa_dp_no_0061_gandharva,gandharva vivāha vidhi,"(1) gandharva vivāha vidhi , (2) śiva śakti samarase mahāmāyā stava , (3) śiva śakti samarase mālinī daṇḍaka stava , (4) iṣṭadevatā pūjā vidhi",Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0061, cd_no: ASK_BL-002, ask_no: habi 63",NA,4 or 20 lines,19.7,6.5,NS760,Paper,NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
ochs_000_000_090_asa_dp_no_0062_skanda,skanda purāṇe himavat khaṇḍe guhyeśvarī aṣṭottaraśata nāma stotra,skanda purāṇe himavat khaṇḍe guhyeśvarī aṣṭottaraśata nāma stotra,Sanskrit-Newa,Newa,ASA Archives,"dp_no: 0062, cd_no: ASK_BL-002, ask_no: habi 64",NA,5 lines,13.8,6.4,NS861,"Paper, coat of HARTALA on front side & back side",NA,"Style: Thyasaphu (foldbook, folios of handmade paper, stitched or glued together along the edges)",yes,no
